"","subID","cond_level","RT","correct","Expt"
"1","1","neutral",664,1,"1a"
"2","1","neutral",610,1,"1a"
"3","1","neutral",597,1,"1a"
"4","1","neutral",658,1,"1a"
"5","1","unique",661,1,"1a"
"6","1","common",968,1,"1a"
"7","1","common",784,1,"1a"
"8","1","neutral",617,1,"1a"
"9","1","neutral",689,1,"1a"
"10","1","neutral",632,1,"1a"
"11","1","common",819,1,"1a"
"12","1","unique",749,1,"1a"
"13","1","unique",895,1,"1a"
"14","1","common",644,1,"1a"
"15","1","neutral",629,1,"1a"
"16","1","common",1031,1,"1a"
"17","1","common",918,1,"1a"
"18","1","neutral",670,1,"1a"
"19","1","unique",881,1,"1a"
"20","1","unique",684,1,"1a"
"21","1","neutral",655,1,"1a"
"22","1","unique",783,1,"1a"
"23","1","unique",831,1,"1a"
"24","1","common",1221,1,"1a"
"25","1","unique",775,1,"1a"
"26","1","common",827,1,"1a"
"27","1","neutral",727,1,"1a"
"28","1","common",1291,1,"1a"
"29","1","common",675,1,"1a"
"30","1","common",992,1,"1a"
"31","1","neutral",616,1,"1a"
"32","1","common",669,1,"1a"
"33","1","common",632,1,"1a"
"34","1","neutral",660,1,"1a"
"35","1","unique",566,1,"1a"
"36","1","common",730,1,"1a"
"37","1","common",635,1,"1a"
"38","1","unique",594,1,"1a"
"39","1","unique",692,1,"1a"
"40","1","unique",739,1,"1a"
"41","1","common",674,1,"1a"
"42","1","common",737,1,"1a"
"43","1","neutral",619,1,"1a"
"44","1","common",623,1,"1a"
"45","1","common",770,1,"1a"
"46","1","neutral",707,1,"1a"
"47","1","common",1113,1,"1a"
"48","1","unique",591,1,"1a"
"49","1","neutral",702,1,"1a"
"50","1","unique",811,1,"1a"
"51","1","neutral",553,1,"1a"
"52","1","unique",800,1,"1a"
"53","1","common",659,1,"1a"
"54","1","unique",581,1,"1a"
"55","1","common",738,1,"1a"
"56","1","neutral",555,1,"1a"
"57","1","neutral",601,1,"1a"
"58","1","common",910,1,"1a"
"59","1","neutral",684,0,"1a"
"60","1","unique",659,1,"1a"
"61","1","common",830,1,"1a"
"62","1","neutral",592,1,"1a"
"63","1","unique",660,1,"1a"
"64","1","unique",828,1,"1a"
"65","1","neutral",741,1,"1a"
"66","1","unique",598,1,"1a"
"67","1","neutral",681,1,"1a"
"68","1","unique",727,1,"1a"
"69","1","neutral",976,1,"1a"
"70","1","neutral",832,1,"1a"
"71","1","neutral",668,1,"1a"
"72","1","common",655,1,"1a"
"73","1","common",848,1,"1a"
"74","1","unique",757,1,"1a"
"75","1","unique",740,1,"1a"
"76","1","unique",874,1,"1a"
"77","1","unique",789,1,"1a"
"78","1","neutral",669,1,"1a"
"79","1","neutral",697,1,"1a"
"80","1","common",624,1,"1a"
"81","1","unique",738,1,"1a"
"82","1","unique",671,1,"1a"
"83","1","unique",635,1,"1a"
"84","1","common",877,1,"1a"
"85","1","unique",607,1,"1a"
"86","1","common",664,1,"1a"
"87","1","unique",645,1,"1a"
"88","1","neutral",603,1,"1a"
"89","1","neutral",575,1,"1a"
"90","1","unique",593,1,"1a"
"91","1","common",844,1,"1a"
"92","1","unique",616,1,"1a"
"93","1","common",657,1,"1a"
"94","1","unique",591,1,"1a"
"95","1","unique",651,1,"1a"
"96","1","common",979,1,"1a"
"97","1","unique",653,1,"1a"
"98","1","neutral",599,1,"1a"
"99","1","unique",922,1,"1a"
"100","1","unique",660,1,"1a"
"101","1","unique",853,1,"1a"
"102","1","neutral",741,1,"1a"
"103","1","unique",738,1,"1a"
"104","1","common",799,1,"1a"
"105","1","common",907,1,"1a"
"106","1","common",833,1,"1a"
"107","1","neutral",841,1,"1a"
"108","1","common",758,1,"1a"
"109","1","unique",1203,1,"1a"
"110","1","common",853,1,"1a"
"111","1","unique",711,1,"1a"
"112","1","neutral",628,1,"1a"
"113","1","unique",696,1,"1a"
"114","1","unique",1030,1,"1a"
"115","1","common",727,1,"1a"
"116","1","unique",649,1,"1a"
"117","1","common",714,1,"1a"
"118","1","common",638,1,"1a"
"119","1","neutral",633,1,"1a"
"120","1","common",725,1,"1a"
"121","1","common",1227,1,"1a"
"122","1","neutral",571,1,"1a"
"123","1","common",715,1,"1a"
"124","1","neutral",794,1,"1a"
"125","1","neutral",610,1,"1a"
"126","1","neutral",671,1,"1a"
"127","1","unique",605,1,"1a"
"128","1","neutral",586,1,"1a"
"129","1","common",730,1,"1a"
"130","1","neutral",676,1,"1a"
"131","1","neutral",688,1,"1a"
"132","1","unique",599,1,"1a"
"133","1","neutral",618,1,"1a"
"134","1","common",819,1,"1a"
"135","1","unique",608,1,"1a"
"136","1","unique",957,1,"1a"
"137","1","unique",817,1,"1a"
"138","1","common",897,1,"1a"
"139","1","neutral",732,1,"1a"
"140","1","neutral",757,1,"1a"
"141","1","common",861,1,"1a"
"142","1","neutral",673,1,"1a"
"143","1","neutral",588,1,"1a"
"144","1","neutral",667,1,"1a"
"145","1","unique",708,1,"1a"
"146","1","neutral",671,1,"1a"
"147","1","neutral",633,1,"1a"
"148","1","common",865,1,"1a"
"149","1","unique",756,1,"1a"
"150","1","neutral",671,1,"1a"
"151","1","neutral",634,1,"1a"
"152","1","common",638,1,"1a"
"153","1","common",1143,1,"1a"
"154","1","common",809,1,"1a"
"155","1","neutral",776,1,"1a"
"156","1","unique",586,1,"1a"
"157","1","common",1113,1,"1a"
"158","1","common",1009,1,"1a"
"159","1","common",916,1,"1a"
"160","1","unique",621,1,"1a"
"161","1","unique",760,1,"1a"
"162","1","neutral",626,1,"1a"
"163","1","unique",863,1,"1a"
"164","1","neutral",678,1,"1a"
"165","1","common",758,1,"1a"
"166","1","neutral",636,1,"1a"
"167","1","unique",827,1,"1a"
"168","1","neutral",679,1,"1a"
"169","1","neutral",718,1,"1a"
"170","1","unique",535,1,"1a"
"171","1","common",719,1,"1a"
"172","1","unique",864,1,"1a"
"173","1","neutral",679,0,"1a"
"174","1","common",854,1,"1a"
"175","1","unique",605,1,"1a"
"176","1","unique",631,1,"1a"
"177","1","common",867,1,"1a"
"178","1","neutral",705,1,"1a"
"179","7","common",951,1,"1a"
"180","7","common",651,1,"1a"
"181","7","neutral",721,1,"1a"
"182","7","neutral",677,1,"1a"
"183","7","common",746,1,"1a"
"184","7","unique",627,1,"1a"
"185","7","neutral",827,1,"1a"
"186","7","common",697,1,"1a"
"187","7","unique",728,1,"1a"
"188","7","common",664,1,"1a"
"189","7","common",928,1,"1a"
"190","7","unique",707,1,"1a"
"191","7","neutral",778,1,"1a"
"192","7","unique",778,1,"1a"
"193","7","neutral",681,1,"1a"
"194","7","common",785,1,"1a"
"195","7","neutral",678,1,"1a"
"196","7","unique",674,1,"1a"
"197","7","common",972,1,"1a"
"198","7","neutral",716,1,"1a"
"199","7","unique",683,1,"1a"
"200","7","common",829,1,"1a"
"201","7","unique",640,1,"1a"
"202","7","unique",665,1,"1a"
"203","7","unique",785,1,"1a"
"204","7","common",749,1,"1a"
"205","7","neutral",756,1,"1a"
"206","7","neutral",697,1,"1a"
"207","7","unique",712,1,"1a"
"208","7","common",945,1,"1a"
"209","7","neutral",625,1,"1a"
"210","7","neutral",833,1,"1a"
"211","7","unique",946,1,"1a"
"212","7","common",916,1,"1a"
"213","7","unique",892,1,"1a"
"214","7","neutral",660,1,"1a"
"215","7","unique",841,1,"1a"
"216","7","unique",720,1,"1a"
"217","7","neutral",964,1,"1a"
"218","7","unique",752,1,"1a"
"219","7","neutral",801,1,"1a"
"220","7","common",790,1,"1a"
"221","7","neutral",851,1,"1a"
"222","7","common",1163,1,"1a"
"223","7","unique",682,1,"1a"
"224","7","unique",878,1,"1a"
"225","7","unique",761,1,"1a"
"226","7","neutral",848,1,"1a"
"227","7","common",724,1,"1a"
"228","7","common",610,1,"1a"
"229","7","neutral",579,1,"1a"
"230","7","common",639,1,"1a"
"231","7","unique",682,1,"1a"
"232","7","unique",695,1,"1a"
"233","7","common",834,1,"1a"
"234","7","unique",646,1,"1a"
"235","7","unique",633,1,"1a"
"236","7","common",864,1,"1a"
"237","7","neutral",811,1,"1a"
"238","7","common",1004,1,"1a"
"239","7","common",582,1,"1a"
"240","7","neutral",647,1,"1a"
"241","7","unique",715,1,"1a"
"242","7","neutral",654,1,"1a"
"243","7","unique",755,1,"1a"
"244","7","unique",881,1,"1a"
"245","7","unique",773,1,"1a"
"246","7","neutral",910,1,"1a"
